red,green,blue,black,yellow,no match,skin_type,initial_price,curr_price,days_since_release
2,39742,53,86845,2958,0,Snow Jacket,2.49,7.42,1701
82,9171,49,115025,5273,0,Assault Rifle,9.13,9.85,771
2797,7183,42,115366,4212,0,Assault Rifle,6.3,13.89,855
3,9777,101,113895,5824,0,Assault Rifle,3.99,28.36,757
3477,7952,3381,110989,3801,0,Stone Hatchet,1.99,3.36,679
176,33997,26,92861,2540,0,Sheet Metal Door,1.49,1.97,267
1801,1408,25,126366,0,0,Acoustic Guitar,16.99,6.34,1271
203,27027,400,99418,2552,0,Rock,1.99,1.98,687
1732,13463,75,113363,967,0,Custom SMG,4.52,2.37,771
11,9064,42,114467,6016,0,Assault Rifle,17.38,1.52,1211
165,8175,42,117044,4174,0,Assault Rifle,1.64,1.33,1155
212,5787,30,120383,3188,0,Double Barrel Shotgun,2.48,4.6,1120
158,45791,24,81277,2350,0,Fridge,2.94,7.25,1189
325,9421,42,118336,1476,0,Rocket Launcher,12.65,1.9,1173
133,21346,43,105915,2163,0,Semi-Automatic Pistol,3.7,2.21,1142
7,27870,56,98770,2897,0,Hoodie,0.99,1.44,455
3,25484,59,101487,2567,0,Pants,0.99,1.45,455
97,15982,28,112490,1003,0,Wooden Door,1.49,5.97,736
2750,7623,44,117866,1317,0,Assault Rifle,2.49,58.24,1211
1,14225,1077,113526,771,0,Custom SMG,29.96,584.82,1258
7088,22703,4113,83141,12555,0,Sheet Metal Door,1.49,2.32,1135
8599,25074,3092,86078,6757,0,Sheet Metal Double Door,1.49,2.14,238
13,33331,48,81986,14222,0,Large Wood Box,1.49,2.59,1266
114,23073,58,83326,23029,0,Large Wood Box,1.49,1.58,189
124,32122,46,94362,2946,0,Large Wood Box,5.49,0.1,1631
532,3659,79,120956,4374,0,Semi-Automatic Rifle,1.99,2.61,343
595,1901,21,126912,171,0,Burlap Headwrap,0.99,3.63,1065
1943,5786,81,121595,195,0,Custom SMG,18.89,4.3,1260
5,7484,83,121419,609,0,Crossbow,3.4,3.71,1121
19,8887,32,119906,756,0,Hatchet,5.14,3.69,1148
0,4727,41,124040,792,0,Pickaxe,1.99,2.57,1135
5075,17267,32,96980,10246,0,Furnace,1.3,2.35,862
690,6294,32,119760,2824,0,Furnace,2.05,4.02,792
135,7018,34,122281,132,0,Stone Hatchet,1.99,5.49,665
34,10194,30,118794,548,0,Stone Pickaxe,4.68,2.25,1023
9,43855,375,83654,1707,0,Sheet Metal Door,1.49,2.3,651
1385,28165,299,95706,4045,0,Furnace,1.49,3.98,651
0,16776,29,110627,2168,0,Rock,1.99,3.34,911
2168,20906,1220,103330,1976,0,Furnace,2.14,2.19,869
0,6389,36,121993,1182,0,Chair,2.6,23.59,1175
1,10531,25,95692,23351,0,Table,2.3,32.8,1176
814,23718,26,102811,2231,0,Sheet Metal Door,1.34,2.8,924
651,9592,71,115037,4249,0,Assault Rifle,1.49,10.68,869
42,17331,29,111954,244,0,Armored Door,1.49,4.39,898
5545,9940,47,107050,7018,0,Coffee Can Helmet,7.89,0.9,1213
16,15254,57,113537,736,0,Road Sign Kilt,0.99,3.06,1051
27,19291,43,105858,4381,0,Road Sign Jacket,0.99,1.22,1051
1896,6314,98,118467,2825,0,Hatchet,1.99,1.71,35
1744,6089,636,114864,6267,0,Assault Rifle,1.99,1.93,294
4250,22158,782,89168,13242,0,Boots,0.99,3.36,280
1893,16884,687,105064,5072,0,Metal Chest Plate,0.99,4.41,182
2077,18485,411,101398,7229,0,Metal Facemask,0.99,4.9,182
828,15029,944,106960,5839,0,Coffee Can Helmet,0.99,1.04,321
